tag_id,event_time,reader_id,event_type,location,signal_strength
TAG3472,2026-02-20T20:44:14.157788,READER2,detection,zone_c,-56.9
TAG3739,2026-02-20T20:45:14.157788,READER4,detection,zone_c,-64.2
TAG6401,2026-02-20T20:46:14.157788,READER2,read,zone_c,-66.5
TAG2761,2026-02-20T20:47:14.157788,READER3,read,zone_b,-50.9
TAG1876,2026-02-20T20:48:14.157788,READER1,detection,zone_b,-69.2
TAG4812,2026-02-20T20:49:14.157788,READER1,read,zone_a,-52.9
TAG2460,2026-02-20T20:50:14.157788,READER1,scan,zone_a,-73.3
TAG2733,2026-02-20T20:51:14.157788,READER3,read,zone_a,-32.4
TAG2605,2026-02-20T20:52:14.157788,READER3,read,zone_a,-62.2
TAG6622,2026-02-20T20:53:14.157788,READER2,scan,zone_b,-63.2
TAG7767,2026-02-20T20:54:14.157788,READER2,scan,zone_c,-48.6
TAG7986,2026-02-20T20:55:14.157788,READER2,detection,zone_b,-64.2
TAG4517,2026-02-20T20:56:14.157788,READER4,detection,zone_a,-45.5
TAG4735,2026-02-20T20:57:14.157788,READER1,scan,zone_b,-56.3
TAG9434,2026-02-20T20:58:14.157788,READER1,scan,zone_c,-61.2
TAG3590,2026-02-20T20:59:14.157788,READER2,detection,zone_c,-100.0
TAG2063,2026-02-20T21:00:14.157788,READER1,read,zone_b,-47.9
TAG5324,2026-02-20T21:01:14.157788,READER2,scan,zone_b,-57.7
TAG6342,2026-02-20T21:02:14.157788,READER4,detection,zone_b,-55.7
TAG1005,2026-02-20T21:03:14.157788,READER4,read,zone_a,-54.6
TAG8489,2026-02-20T21:04:14.157788,READER3,scan,zone_b,-58.7
TAG9659,2026-02-20T21:05:14.157788,READER4,read,zone_b,-54.8
TAG9195,2026-02-20T21:06:14.157788,READER2,detection,zone_b,-61.2
TAG6966,2026-02-20T21:07:14.157788,READER4,scan,zone_c,-60.5
TAG9837,2026-02-20T21:08:14.157788,READER3,read,zone_c,-71.2
TAG1117,2026-02-20T21:09:14.157788,READER1,scan,zone_a,-57.0
TAG3551,2026-02-20T21:10:14.157788,READER2,read,zone_a,-100.0
TAG6560,2026-02-20T21:11:14.157788,READER1,detection,zone_c,-57.2
TAG5289,2026-02-20T21:12:14.157788,READER3,detection,zone_c,-62.8
TAG1846,2026-02-20T21:13:14.157788,READER3,scan,zone_c,-56.3
TAG7316,2026-02-20T21:14:14.157788,READER3,read,zone_b,-70.5
TAG7469,2026-02-20T21:15:14.157788,READER1,scan,zone_b,-81.2
TAG9915,2026-02-20T21:16:14.157788,READER1,scan,zone_c,-63.5
TAG1224,2026-02-20T21:17:14.157788,READER1,read,zone_b,-70.5
TAG5208,2026-02-20T21:18:14.157788,READER1,read,zone_b,-77.8
TAG7283,2026-02-20T21:19:14.157788,READER3,read,zone_a,-52.3
TAG3048,2026-02-20T21:20:14.157788,READER3,detection,zone_c,-44.0
TAG7233,2026-02-20T21:21:14.157788,READER2,scan,zone_c,-68.0
TAG2828,2026-02-20T21:22:14.157788,READER2,scan,zone_b,-60.8
TAG2917,2026-02-20T21:23:14.157788,READER1,detection,zone_c,-100.0
TAG5234,2026-02-20T21:24:14.157788,READER4,read,zone_a,-66.6
