machine_id,event_time,parameter_name,parameter_value
MACH001,2026-02-07T22:17:06.247411,temperature,58.815
MACH001,2026-02-07T22:17:06.247411,vibration,1.036
MACH002,2026-02-08T09:17:06.247411,vibration,0.435
MACH001,2026-02-06T20:17:06.247411,vibration,0.365
MACH002,2026-02-08T16:17:06.247411,temperature,61.141
MACH001,2026-02-07T17:17:06.247411,pressure,5.881
MACH002,2026-02-07T01:17:06.247411,pressure,9.0
MACH002,2026-02-07T14:17:06.247411,energy,2840.939
MACH001,2026-02-08T18:17:06.247411,temperature,57.403
MACH001,2026-02-07T04:17:06.247411,pressure,5.877
MACH001,2026-02-07T03:17:06.247411,vibration,0.278
MACH001,2026-02-07T17:17:06.247411,vibration,0.508
MACH001,2026-02-06T21:17:06.247411,rpm,1283.246
MACH002,2026-02-08T09:17:06.247411,energy,3062.719
MACH002,2026-02-08T14:17:06.247411,energy,3345.374
MACH001,2026-02-07T16:17:06.247411,pressure,6.493
MACH002,2026-02-07T15:17:06.247411,temperature,62.791
MACH001,2026-02-07T09:17:06.247411,vibration,2.29
MACH001,2026-02-07T03:17:06.247411,pressure,5.133
MACH002,2026-02-08T17:17:06.247411,vibration,0.582
MACH001,2026-02-06T22:17:06.247411,vibration,0.922
MACH001,2026-02-06T18:17:06.247411,energy,2567.649
MACH002,2026-02-07T08:17:06.247411,temperature,57.906
MACH001,2026-02-08T15:17:06.247411,vibration,0.455
MACH002,2026-02-08T12:17:06.247411,pressure,6.857
MACH002,2026-02-08T16:17:06.247411,vibration,0.152
MACH001,2026-02-06T20:17:06.247411,energy,3386.26
MACH001,2026-02-08T08:17:06.247411,vibration,1.08
MACH002,2026-02-07T10:17:06.247411,temperature,69.577
MACH002,2026-02-07T15:17:06.247411,pressure,6.416
MACH001,2026-02-08T15:17:06.247411,rpm,1284.001
MACH002,2026-02-07T05:17:06.247411,pressure,5.73
MACH001,2026-02-08T03:17:06.247411,rpm,1239.434
MACH001,2026-02-06T20:17:06.247411,pressure,5.758
MACH001,2026-02-06T22:17:06.247411,rpm,1183.824
MACH002,2026-02-08T05:17:06.247411,energy,3042.452
MACH002,2026-02-08T10:17:06.247411,energy,3332.353
MACH002,2026-02-08T17:17:06.247411,temperature,65.919
MACH001,2026-02-06T19:17:06.247411,vibration,0.1
MACH002,2026-02-07T15:17:06.247411,vibration,0.339
MACH001,2026-02-08T08:17:06.247411,pressure,6.551
MACH002,2026-02-07T00:17:06.247411,pressure,7.694
MACH001,2026-02-07T23:17:06.247411,temperature,69.27
MACH001,2026-02-08T03:17:06.247411,pressure,5.653
MACH001,2026-02-08T15:17:06.247411,temperature,64.464
MACH002,2026-02-07T00:17:06.247411,temperature,78.892
MACH002,2026-02-07T12:17:06.247411,energy,2662.914
MACH001,2026-02-08T18:17:06.247411,energy,2705.043
MACH002,2026-02-08T10:17:06.247411,vibration,1.281
MACH001,2026-02-08T15:17:06.247411,energy,2456.98
MACH002,2026-02-08T04:17:06.247411,pressure,7.477
MACH001,2026-02-06T21:17:06.247411,temperature,65.712
MACH001,2026-02-08T01:17:06.247411,energy,2416.042
MACH001,2026-02-07T16:17:06.247411,rpm,1275.193
MACH002,2026-02-08T00:17:06.247411,pressure,7.825
MACH002,2026-02-07T07:17:06.247411,rpm,1233.289
MACH002,2026-02-07T15:17:06.247411,energy,3373.406
MACH001,2026-02-07T04:17:06.247411,vibration,0.1
MACH001,2026-02-07T19:17:06.247411,rpm,953.03
MACH001,2026-02-07T13:17:06.247411,rpm,1185.353
MACH002,2026-02-07T15:17:06.247411,rpm,1306.579
MACH001,2026-02-08T01:17:06.247411,pressure,5.388
MACH001,2026-02-08T07:17:06.247411,temperature,70.482
MACH001,2026-02-07T23:17:06.247411,energy,2405.847
MACH002,2026-02-07T11:17:06.247411,vibration,0.254
MACH001,2026-02-06T18:17:06.247411,vibration,0.1
MACH002,2026-02-07T10:17:06.247411,rpm,1217.555
MACH001,2026-02-07T09:17:06.247411,temperature,57.907
MACH001,2026-02-06T23:17:06.247411,rpm,1129.555
MACH001,2026-02-07T18:17:06.247411,rpm,1287.359
MACH001,2026-02-07T02:17:06.247411,temperature,62.697
MACH002,2026-02-07T11:17:06.247411,rpm,1098.093
MACH002,2026-02-08T10:17:06.247411,pressure,9.0
MACH002,2026-02-07T21:17:06.247411,temperature,65.065
MACH001,2026-02-06T22:17:06.247411,energy,2391.379
MACH002,2026-02-07T01:17:06.247411,energy,2989.277
MACH002,2026-02-07T01:17:06.247411,vibration,2.599
MACH002,2026-02-07T07:17:06.247411,energy,2554.05
MACH002,2026-02-08T02:17:06.247411,vibration,0.247
MACH002,2026-02-08T11:17:06.247411,pressure,6.091
MACH002,2026-02-07T05:17:06.247411,rpm,1372.652
MACH002,2026-02-07T06:17:06.247411,pressure,7.504
MACH001,2026-02-06T19:17:06.247411,pressure,8.039
MACH002,2026-02-08T17:17:06.247411,pressure,7.078
MACH001,2026-02-08T03:17:06.247411,temperature,55.318
MACH002,2026-02-08T04:17:06.247411,energy,2371.643
MACH001,2026-02-08T06:17:06.247411,energy,2429.581
MACH001,2026-02-08T01:17:06.247411,temperature,62.687
MACH002,2026-02-08T17:17:06.247411,energy,2484.959
MACH001,2026-02-07T17:17:06.247411,energy,2781.839
MACH001,2026-02-08T01:17:06.247411,vibration,1.091
MACH002,2026-02-08T04:17:06.247411,vibration,0.1
MACH002,2026-02-07T20:17:06.247411,rpm,1076.914
MACH001,2026-02-07T23:17:06.247411,pressure,8.289
MACH001,2026-02-07T09:17:06.247411,energy,3449.168
MACH002,2026-02-08T12:17:06.247411,energy,2611.227
MACH002,2026-02-08T00:17:06.247411,rpm,1278.708
MACH001,2026-02-07T18:17:06.247411,vibration,0.1
MACH002,2026-02-08T12:17:06.247411,rpm,1308.895
MACH001,2026-02-06T17:17:06.247411,pressure,7.015
MACH002,2026-02-07T08:17:06.247411,rpm,1235.711
MACH001,2026-02-06T21:17:06.247411,energy,2966.804
MACH001,2026-02-06T20:17:06.247411,temperature,62.86
MACH001,2026-02-06T17:17:06.247411,energy,2320.877
MACH002,2026-02-08T16:17:06.247411,energy,2610.022
MACH001,2026-02-06T17:17:06.247411,temperature,62.249
MACH002,2026-02-07T12:17:06.247411,temperature,51.724
MACH001,2026-02-08T06:17:06.247411,temperature,60.766
MACH001,2026-02-07T22:17:06.247411,pressure,5.18
MACH002,2026-02-07T20:17:06.247411,vibration,0.1
MACH002,2026-02-08T13:17:06.247411,vibration,0.253
MACH002,2026-02-08T04:17:06.247411,rpm,1248.247
MACH001,2026-02-06T23:17:06.247411,energy,3026.445
MACH002,2026-02-08T17:17:06.247411,rpm,1392.362
MACH002,2026-02-07T06:17:06.247411,energy,3189.185
MACH001,2026-02-06T18:17:06.247411,rpm,1147.483
MACH001,2026-02-06T21:17:06.247411,vibration,0.503
MACH001,2026-02-07T13:17:06.247411,temperature,62.584
MACH002,2026-02-08T13:17:06.247411,pressure,5.989
MACH001,2026-02-06T23:17:06.247411,vibration,0.397
MACH002,2026-02-07T12:17:06.247411,rpm,1119.772
MACH002,2026-02-07T00:17:06.247411,energy,3095.387
MACH001,2026-02-07T09:17:06.247411,rpm,1282.373
MACH002,2026-02-08T04:17:06.247411,temperature,60.185
MACH001,2026-02-08T18:17:06.247411,rpm,1387.201
MACH002,2026-02-08T12:17:06.247411,vibration,0.715
